# CET-4000 词库第1部分 (约A-E开头) 来源:wordcram/eduease/docin/apedia/gzu/sohu/CSDN/xdf/koolearn
abandon 放弃；抛弃
ability 能力；才能
able 能够的；有能力的
abnormal 不正常的；反常的
aboard 在船(飞机)上；上船
about 关于；大约
above 在……上面；高于
abroad 在国外；到海外
abrupt 突然的；唐突的
absence 缺席；缺乏
absent 缺席的；不在场的
absolute 绝对的；完全的
absolutely 完全地；绝对地
absorb 吸收；吸引
absorption 吸收；专注
abstract 抽象的；摘要
absurd 荒谬的；可笑的
abundance 大量；充裕
abundant 丰富的；大量的
abuse 滥用；虐待
abyss 深渊
academic 学院的；学术的
academy 学院；学会
accelerate 加速；加快
acceleration 加速；加速度
accent 口音；重音
accept 接受；同意
acceptable 可接受的
acceptance 接受；认可
access 接近；通道
accessory 同谋；附件
accident 事故；意外
accidental 偶然的；意外的
accommodate 容纳；提供住宿
accommodation 住宿；膳宿
accompany 陪伴；伴随
accomplish 完成；达到
accord 使一致；给予
accordance 一致；符合
according 按照；据
accordingly 因此；相应地
account 账户；记述
accountable 负有责任的
accountancy 会计学
accountant 会计师
accumulate 积累；积聚
accuracy 准确性；精确度
accurate 准确的；正确无误的
accuse 指责；控告
accustom 使习惯
accustomed 惯常的；习惯的
ache 疼痛
achieve 完成；实现
achievement 成就；成绩
acid 酸；酸的
acknowledge 承认；答谢
acquaint 使熟悉；了解
acquaintance 相识；熟人
acquire 取得；获得
acre 英亩
across 横过；在对面
act 行动；表演
action 行动；作用
activate 激活；起动
active 活跃的；积极的
activist 积极分子
activity 活动；活力
actor 男演员
actress 女演员
actual 实际的；真实的
actually 实际上；竟然
acute 尖的；敏锐的
ad 广告
adapt 使适应；改编
adaptation 适应；改编
add 添加；增加
addiction 上瘾
addictive 使上瘾的
addition 加；附加物
additional 附加的；额外的
additive 添加剂
address 地址；演说
adequate 足够的；胜任的
adjective 形容词
adjust 调整；调节
administer 管理
administration 管理；行政
administrative 管理的；行政的
administrator 管理人员
admire 钦佩；赞赏
admission 允许进入；承认
admit 承认；准许进入
adolescent 青少年
adopt 收养；采用
adoption 采用；收养
adore 崇拜
adorn 装饰
adult 成年人
adulthood 成年
advance 前进；进展
advanced 先进的；高级的
advantage 优点；优势
adventure 冒险；奇遇
adventurous 爱冒险的
adverb 副词
adversary 对手
adverse 不利的；有害的
adversity 逆境
advertise 做广告；宣传
advertisement 广告
advice 劝告；建议
advisable 明智的；可取的
advise 劝告；建议
adviser 顾问
advocate 提倡；拥护者
aerial 空气的；航空的
aerobic 有氧的
aeroplane 飞机
aesthetic 审美的
affair 事情；事件
affect 影响；感动
affection 喜爱；感情
affirm 断言；证实
affluent 富裕的
afford 负担得起；提供
afraid 害怕的；担心的
africa 非洲
african 非洲的；非洲人
after 在……之后
aftermath 后果
afternoon 下午
afterward 后来；以后
again 又；再次
against 反对；逆着
age 年龄；时代
agency 代理处；机构
agent 代理人；代理商
aggressive 侵略的；好斗的
agitate 鼓动
ago 以前
agree 同意；赞成
agreement 协议；同意
agricultural 农业的
