# CET-4000 词库第2部分 (约F-J开头) 来源:wordcram/eduease/docin/apedia/gzu/sohu/CSDN/xdf/koolearn
compliment 赞美；问候
comply 遵从
compose 组成；创作
composer 作曲家
composition 作文；构成
compost 堆肥
compound 化合物；复合的
comprehend 理解
comprehension 理解；理解力
comprehensive 全面的
compress 压缩
comprise 包含；由……组成
compromise 妥协
compute 计算
computer 计算机
comrade 同志
conceal 隐藏；隐瞒
concede 让步；承认
conceited 自负的
conceive 构思；设想
concentrate 集中；专心
concept 概念；观念
concern 关心；担心
concerning 关于
concert 音乐会
concession 让步
concise 简明的
conclude 结束；推断
conclusion 结论；结束
concrete 具体的；混凝土
condemn 谴责；判刑
condense 凝结
condition 条件；状况
conduct 行为；指挥
conductor 售票员；指挥
conference 会议
confess 坦白；承认
confide 吐露
confidence 信心；信任
confident 自信的
confirm 证实；确认
conflict 冲突；矛盾
conform 顺从
confront 面对；对抗
confuse 使混乱；迷惑
congratulate 祝贺
congratulation 祝贺
congregate 聚集
congress 国会；代表大会
conjunction 连词
connect 连接；联系
connection 连接；关系
conquer 征服；战胜
conquest 征服
conscience 良心
conscious 有意识的；自觉的
consensus 共识
consequence 结果；后果
consequently 因此；所以
conservation 保存；保护
conserve 保存
consider 考虑；认为
considerable 相当大的
considerate 体贴的
consist 由……组成
console 安慰
consolidate 巩固
consort 结交
conspicuous 显著的
conspiracy 阴谋
constant 不变的；恒定的
constitute 构成；组成
constitution 宪法；构成
constraint 约束
construct 建造；构造
construction 建设；结构
consult 请教；商议
consume 消耗；消费
consumer 消费者
consumption 消费；消耗
contact 接触；联系
contain 包含；容纳
container 容器
contemplate 沉思
contemporary 当代的
contempt 蔑视
content 内容；满足的
contest 竞赛；争论
context 上下文；背景
continent 大陆；洲
contingency 偶然事件
continual 不断的
continue 继续
continuous 连续的
contract 合同；收缩
contradict 反驳
contradiction 矛盾
contrary 相反的
contrast 对比；对照
contribute 贡献；捐献
contribution 贡献；捐献
control 控制；管理
controversy 争议
convenience 便利；方便
convenient 方便的
convention 大会；惯例
conversation 会话；谈话
converse 相反的
convert 转换
convey 运送；传达
convict 证明……有罪
conviction 定罪；确信
convince 使确信；说服
cook 烹调；厨师
cool 凉爽的；冷静
cooperate 合作
cooperation 合作
coordinate 协调；同等的
cope 应付；处理
copper 铜；铜的
copy 复制；副本
copyright 版权
cord 细绳
cordial 热诚的
core 核心；果心
corn 玉米；谷类
corner 角；角落
corporate 公司的
corporation 公司
corps 军团
corpse 尸体
correct 正确的；改正
correspond 符合；通信
corridor 走廊
corrupt 腐败的
cosmetics 化妆品
cosmic 宇宙的
cost 花费；成本
costly 昂贵的
costume 服装
cottage 村舍；小屋
cotton 棉花
couch 长沙发
cough 咳嗽
could 能(过去式)
council 委员会；理事会
counsel 劝告
count 数；计数
counter 柜台；计数器
counterpart 对应物
country 国家；乡村
countryside 乡下
county 县
couple 一对；夫妇
courage 勇气
course 课程；过程
court 法庭；球场
courteous 有礼貌的
courtesy 礼貌
cousin 堂兄弟姐妹
cover 覆盖；封面
cow 母牛
coward 懦夫
crack 裂缝；破裂
cracker 薄脆饼干
cradle 摇篮
craft 工艺；手艺
craftsman 工匠
crash 碰撞；坠毁
crater 火山口
crave 渴望
crawl 爬行
crazy 疯狂的
creak 嘎吱声
cream 奶油
create 创造
creative 创造性的
creature 生物
credentials 凭证
credit 信用；学分
creed 信条
creek 小溪
cremate 火化
crew 全体船员
crime 罪行
criminal 罪犯
crisis 危机
crisp 脆的
critic 批评家
critical 批判的；关键的
criticism 批评
criticize 批评
critique 评论
crocodile 鳄鱼
crooked 弯曲的
crop 庄稼；作物
cross 穿过；十字
crouch 蹲伏
crow 乌鸦
crowd 人群；拥挤
crowded 拥挤的
crown 王冠
crucial 关键的
crude 粗糙的
cruel 残忍的
cruise 巡游
crumble 破碎
crusade 改革运动
cry 哭；叫喊
cub 幼兽
cube 立方体
cuckoo 杜鹃鸟
cucumber 黄瓜
cuisine 烹饪
cultivate 耕作；培养
culture 文化
cumulative 累积的
cup 杯子
cupboard 碗橱
cure 治愈；疗法
curfew 宵禁
curiosity 好奇心
curious 好奇的
currency 货币；流通
current 当前的；电流
curriculum 课程
curse 诅咒
curtain 窗帘
curve 曲线；弯曲
cushion 垫子
custom 习俗；海关
customary 习惯的
customer 顾客
cut 切；割
cute 可爱的
cycle 循环；自行车
cylinder 圆柱体
cynical 愤世嫉俗的
dad 爸爸
dagger 匕首
daily 每日的；日报
dairy 奶制品
daisy 雏菊
damage 损害
damp 潮湿的
dance 跳舞
danger 危险
dangerous 危险的
dare 敢
daredevil 蛮勇的人
dark 黑暗的
darkness 黑暗
dart 飞镖
dash 猛冲；破折号
data 数据
database 数据库
date 日期；约会
daughter 女儿
dawn 黎明
day 白天；一天
dazzle 使目眩
dead 死的
deadline 截止日期
deaf 聋的
deafen 使聋
deal 处理；交易
dealer 商人
dean 院长
dear 亲爱的
death 死亡
debate 辩论
debt 债务
debtor 债务人
decade 十年
decay 腐烂；衰败
deceive 欺骗
december 十二月
decent 体面的
deceptive 欺骗性的
decide 决定
decision 决定
decisive 决定性的
deck 甲板
declaration 宣言
declare 宣布
decline 下降；拒绝
decode 解码
decorate 装饰
decorator 装饰工
decrease 减少
decree 法令
dedicate 奉献
deduce 推论
deed 行为；事迹
deep 深的
deeply 深深地
deer 鹿
default 违约
defeat 击败
defect 缺点
defend 防守；辩护
defense 防御
defer 推迟
defiance 违抗
deficient 缺乏的
deficit 赤字
define 下定义
definite 明确的
definition 定义
deform 使变形
defy 违抗
degree 程度；学位
delay 耽搁；延迟
delete 删除
deliberate 故意的
delicacy 美味
delicate 精致的
delicious 美味的
delight 高兴
deliver 递送
delivery 递送
delta 三角洲
delusion 错觉
demand 要求；需求
democracy 民主
democratic 民主的
demolish 拆除
demonstrate 证明；示威
denounce 谴责
dense 密集的
density 密度
dentist 牙医
deny 否认
depart 离开
department 部门
departure 离开
depend 依赖
depict 描绘
deplete 耗尽
deploy 部署
deposit 存款；沉积
depress 使沮丧
depression 抑郁；萧条
deprivation 剥夺
depth 深度
deregulate 解除管制
derive 源于
descend 下降
describe 描述
description 描述
desert 沙漠；抛弃
deserve 应得
design 设计
designate 指定
designer 设计师
desirable 称心的
desire 渴望
desk 书桌
desolate 荒凉的
despair 绝望
desperate 绝望的；不顾一切的
despise 鄙视
despite 尽管
dessert 甜点
destination 目的地
destiny 命运
destroy 破坏
destruction 破坏
detach 分开
detail 细节
detect 发现；察觉
detective 侦探
deter 阻止
detergent 洗涤剂
deteriorate 恶化
determination 决心
determine 决定
detour 绕道
devastate 毁坏
develop 发展
development 发展
deviate 偏离
device 装置
devote 奉献
devour 吞食
dew 露水
diagnose 诊断
diagonal 对角线的
dialect 方言
dialog 对话
diamond 钻石
diary 日记
dictate 口述
dictionary 词典
die 死亡
diet 饮食
differ 不同
difference 不同
different 不同的
difficult 困难的
difficulty 困难
dig 挖
digital 数字的
dignity 尊严
dilemma 困境
diligent 勤奋的
dimension 尺寸；维度
diminish 减少
dine 进餐
dinner 正餐
dip 浸
diploma 文凭
diplomat 外交官
direct 直接的；指挥
direction 方向
director 主任；导演
directory 目录
dirt 污物
dirty 脏的
disability 残疾
disagreement 分歧
disappear 消失
disappoint 使失望
disapprove 不赞成
disarm 解除武装
disaster 灾难
discard 丢弃
discern 辨别
discharge 释放
discipline 纪律
disco 迪斯科
discord 不和
discount 折扣
discourse 论述
discover 发现
discovery 发现
discrete 离散的
discriminate 歧视
discuss 讨论
discussion 讨论
disdain 鄙视
disease 疾病
dish 盘；菜肴
disk 磁盘
dislike 不喜欢
dismantle 拆除
dismay 沮丧
dismiss 解雇；解散
disorder 混乱
dispatch 派遣
dispense 分配
disperse 散开
display 展示
dispose 处理
dispute 争论
disrupt 扰乱
dissolve 溶解
distance 距离
distant 远的
distinct 明显的；不同的
distinguish 区别
distort 扭曲
distract 分心
distribute 分发
district 地区
disturb 打扰
dive 潜水
diverse 多样的
divert 转移
divide 分开
dividend 股息
division 分割
do 做
dock 码头
doctor 医生；博士
doctrine 教条
document 文件
dodge 躲闪
dog 狗
doll 玩偶
dollar 美元
dolphin 海豚
domain 领域
dome 圆顶
domestic 国内的；家庭的
dominate 支配
donate 捐赠
donkey 驴
doom 注定
door 门
dorm (已有) 宿舍
dormitory 宿舍
dose 剂量
dot 点；圆点
double 双倍的
doubt 怀疑
dough 面团
down 向下
downfall 垮台
download 下载
downstairs 楼下
downtown 市中心
dozen 一打
draft 草稿
drag 拖
dragon 龙
drain 排水
drama 戏剧
dramatic 戏剧性的
drastic 激烈的
draw 画；拉
drawback 缺点
drawer 抽屉
drawing 图画
dread 恐惧
dreadful 可怕的
dream 梦；梦想
drench 使湿透
dress 连衣裙
drift 漂流
drill 钻；训练
drink 喝；饮料
drive 驾驶
driver 司机
drop 落下；滴
drought 干旱
drown 淹死
drowsy 困倦的
drug 药物；毒品
drum 鼓
drunk 醉的
dry 干的
dubious 可疑的
duck 鸭子
due 应得的；到期的
dull 乏味的
dumb 哑的
dump 倾倒
dune 沙丘
duration 持续时间
during 在……期间
dusk 黄昏
dust 灰尘
