# CET-4000 词库第3部分 (约K-O开头) 来源:wordcram/eduease/docin/apedia/gzu/sohu/CSDN/xdf/koolearn
gulf 海湾
gun 枪
guy 家伙
habit 习惯
hair 头发
haircut 理发
half 一半
hall 大厅
halt 停止
ham 火腿
hamburger 汉堡包
hammer 锤子
hand 手
handbag 手提包
handful 一把
handkerchief 手帕
handle 处理
handsome 英俊的
handwriting 笔迹
handy 便利的
hang 悬挂
happen 发生
happy 快乐的
harbor 港口
hard 硬的；困难的
hardly 几乎不
hardship 艰难
hardware 硬件
harm 伤害
harmful 有害的
harmony 和谐
harvest 收获
hat 帽子
hate 憎恨
have 有
he 他
head 头
headache 头痛
headline 标题
headquarters 总部
health 健康
healthy 健康的
heap 堆
hear 听见
heart 心
heat 热
heaven 天堂
heavy 重的
height 高度
helicopter 直升机
hell 地狱
hello 你好
help 帮助
helpful 有帮助的
hen 母鸡
her 她
here 这里
hero 英雄
heroic 英勇的
hesitate 犹豫
hi 嗨
hide 藏
high 高的
highlight 强调
highway 公路
hike 徒步
hill 小山
him 他
hint 暗示
hip 臀部
hire 雇用
his 他的
historic 历史的
history 历史
hit 打击
hobby 爱好
hold 拿住
hole 洞
holiday 假日
hollow 空的
holy 神圣的
home 家
homeland 祖国
honest 诚实的
honey 蜂蜜
honor 荣誉
hook 钩子
hope 希望
hopeful 有希望的
horizon 地平线
horn 角；喇叭
horror 恐怖
horse 马
hospital 医院
host 主人
hostile 敌对的
hot 热的
hotel 旅馆
hour 小时
house 房子
household 家庭
housewife 家庭主妇
housework 家务
housing 住房
how 怎样
however 然而
hug 拥抱
huge 巨大的
human 人类
humble 谦卑的
humor 幽默
humorous 幽默的
hundred 一百
hunger 饥饿
hungry 饥饿的
hunt 打猎
hurry 匆忙
hurt 伤害
husband 丈夫
hut 小屋
ice 冰
icecream 冰淇淋
idea 想法
ideal 理想的
identify 识别
identity 身份
if 如果
ignorant 无知的
ignore 忽视
ill 生病的
illegal 非法的
illness 疾病
illustrate 说明
image 图像
imagination 想象
imagine 想象
immediate 立即的
immigrant 移民
impact 影响
imply 暗示
import 进口
importance 重要性
important 重要的
impose 强加
impossible 不可能的
impress 给……深刻印象
impression 印象
impressive 令人钦佩的
improve 改善
improvement 改善
in 在……里
inch 英寸
incident 事件
include 包含
income 收入
increase 增加
incredible 难以置信的
indeed 确实
independence 独立
independent 独立的
index 索引
indicate 表明
indication 指示
individual 个人的
industrial 工业的
industry 工业
inevitable 不可避免的
infant 婴儿
infect 传染
inflation 通货膨胀
influence 影响
inform 通知
informal 非正式的
information 信息
ingredient 成分
initial 最初的
initiative 主动
injure 伤害
injury 伤害
ink 墨水
inn 小旅馆
inner 内部的
innocent 无辜的
inquire 询问
inquiry 询问
insect 昆虫
inside 内部
insist 坚持
inspect 检查
inspire 鼓舞
instance 例子
instant 立即的
instead 代替
instinct 本能
institute 学院；机构
institution 机构
instruct 指示
instruction 指示；说明
instrument 仪器
insurance 保险
intellectual 智力的
intelligence 智力
intelligent 聪明的
intend 打算
intense 强烈的
intention 意图
interact 互动
interaction 互动
interest 兴趣
interesting 有趣的
interfere 干涉
intermediate 中级的
international 国际的
internet 互联网
interpret 解释；口译
interpretation 解释
interrupt 打断
interval 间隔
interview 面试
into 进入
introduce 介绍
introduction 介绍
invade 入侵
invasion 入侵
invent 发明
invention 发明
invest 投资
investigate 调查
investment 投资
invitation 邀请
invite 邀请
involve 卷入；包含
iron 铁；熨斗
island 岛屿
issue 问题；发行
it 它
item 项目
its 它的
itself 它自己
jacket 夹克
jail 监狱
jam 果酱；堵塞
january 一月
jazz 爵士乐
jealous 嫉妒的
jeans 牛仔裤
jeep 吉普车
jet 喷气式飞机
jewel 宝石
job 工作
jog 慢跑
join 加入
joint 关节；联合
joke 玩笑
journal 日志
journalist 记者
journey 旅行
joy 欢乐
judge 法官；判断
judgment 判断
juice 果汁
july 七月
jump 跳
june 六月
jungle 丛林
junior 年少的
jury 陪审团
just 公正的；刚刚
justice 正义
justify 证明……正当
keep 保持
ketchup 番茄酱
kettle 水壶
key 钥匙
keyboard 键盘
kick 踢
kid 小孩
kill 杀死
kilo 千克
kilogram 千克
kilometer 千米
kind 种类；善良的
king 国王
kingdom 王国
kiss 吻
kitchen 厨房
kite 风筝
knee 膝盖
knife 刀
knit 编织
knock 敲
knot 结
know 知道
knowledge 知识
lab 实验室
label 标签
labor 劳动
laboratory 实验室
lack 缺乏
ladder 梯子
