# CET-4000 词库第4部分 (约P-Z开头) 来源:wordcram/eduease/docin/apedia/gzu/sohu/CSDN/xdf/koolearn
pulse 脉搏
pump 泵
punctual 准时的
punish 惩罚
punishment 惩罚
pupil 学生
puppet 木偶
purchase 购买
pure 纯的
purple 紫色的
purpose 目的
purse 钱包
push 推
put 放
puzzle 谜
qualification 资格
qualify 使合格
quality 质量
quantity 数量
quarrel 争吵
quarter 四分之一
queen 女王
quest 探索
question 问题
queue 队列
quick 快的
quiet 安静的
quit 放弃
quite 完全
quiz 测验
quotation 引用
quote 引用
rabbit 兔子
race 比赛
racial 种族的
rack 架子
radar 雷达
radiation 辐射
radio 收音机
rail 铁轨
railway 铁路
rain 雨
rainbow 彩虹
rainy 下雨的
raise 举起
range 范围
rank 等级
rapid 迅速的
rare 稀有的
rat 老鼠
rate 比率
rather 宁可
raw 生的
ray 光线
razor 剃刀
reach 到达
react 反应
read 读
reader 读者
ready 准备好的
real 真实的
reality 现实
realize 意识到
really 真正地
reason 原因
reasonable 合理的
recall 回想
receipt 收据
receive 收到
recent 最近的
recently 最近
reception 接待
recipe 食谱
recite 背诵
recognize 认出
recommend 推荐
record 记录
recover 恢复
recovery 恢复
recreation 娱乐
recycle 回收
red 红色的
reduce 减少
refer 提到
reference 参考
reflect 反映
reform 改革
refresh 使恢复
refrigerator 冰箱
refuge 避难
refugee 难民
refuse 拒绝
regard 看作
regardless 不管
region 地区
register 登记
regret 后悔
regular 规则的
regulate 管理
reject 拒绝
relate 有关
relation 关系
relative 亲戚
relax 放松
relief 缓解
relieve 减轻
rely 依赖
remain 保持
remark 评论
remarkable 显著的
remedy 治疗
remember 记得
remind 提醒
remote 遥远的
remove 移除
rent 租
repair 修理
repeat 重复
replace 替换
reply 回答
report 报告
reporter 记者
represent 代表
representative 代表
republic 共和国
reputation 名声
request 要求
require 要求
requirement 要求
rescue 营救
research 研究
resemble 相似
reserve 储备
residence 住宅
resident 居民
resign 辞职
resist 抵抗
resistance 抵抗
resistant 抵抗的
resolve 解决
resource 资源
respect 尊重
respond 回应
response 回应
