动词词库
run 跑
eat 吃
sleep 睡觉
walk 走
jump 跳
swim 游泳
fly 飞
read 阅读
write 写
sing 唱歌
dance 跳舞
drink 喝
cook 烹饪
draw 画画
climb 爬
drive 驾驶
smile 微笑
cry 哭
think 思考
speak 说话
listen 听
open 打开
close 关闭
push 推
pull 拉
throw 扔
catch 接住
build 建造
clean 打扫
wash 洗
buy 买
sell 卖
give 给
take 拿
make 制作
break 打破
cut 切
hit 打
hold 握住
kick 踢
kiss 亲吻
laugh 笑
learn 学习
teach 教
play 玩
ride 骑
sit 坐
stand 站
stop 停止
turn 转
wait 等待
win 赢
lose 输
begin 开始
finish 完成
help 帮助
like 喜欢
love 爱
hate 恨
want 想要
carry 搬运
count 数数
dig 挖
drop 掉落
fall 跌倒
fight 打架
find 找到
fix 修理
follow 跟随
forget 忘记
grow 生长
hang 悬挂
hide 躲藏
hope 希望
hurry 赶快
invite 邀请
keep 保持
lead 带领
leave 离开
lie 躺
lift 举起
meet 遇见
miss 想念
move 移动
need 需要
paint 涂画
pass 通过
pick 捡起
plan 计划
point 指向
promise 承诺
protect 保护
reach 到达
remember 记住
repeat 重复
rest 休息
return 返回
save 保存
search 搜索
send 发送
shake 摇晃
share 分享
shout 喊叫
show 展示
stay 停留
study 学习
talk 交谈
tell 告诉
travel 旅行
try 尝试
use 使用
visit 拜访
watch 观看
wear 穿
work 工作
worry 担心
bring 带来
choose 选择
feel 感觉
fill 填满
happen 发生
imagine 想象
improve 改善
include 包括
increase 增加
explain 解释
express 表达
